ContactName,ContactTitle
"Antonio del Valle Saavedra","Export Administrator"
"Beate Vileid","Marketing Manager"
"Carlos Diaz","Marketing Manager"
"Chandra Leka",Owner
"Cheryl Saylor","Regional Account Rep."
"Elio Rossi","Sales Representative"
"Guylène Nodier","Sales Manager"
"Ian Devling","Marketing Manager"
"Lars Peterson","Sales Agent"
"Martin Bein","International Marketing Mgr."
"Mayumi Ohno","Marketing Representative"
"Michael Björn","Sales Representative"
"Peter Wilson","Sales Representative"
"Petra Winkler","Sales Manager"
"Robb Merchant","Wholesale Account Agent"
"Sven Petersen","Coordinator Foreign Markets"
